,Waktu,Temp1,Temp2,Humid 1,Humid 2,Baterai,Temp outdoor,Humidity outdoor
7320,2025-11-17 16:29:42+07:00,,,,,,,
7321,2025-11-17 16:29:58+07:00,,,,,,25.4,95.6
7322,2025-11-17 16:30:14+07:00,,,,,,25.4,95.7
7323,2025-11-17 16:30:30+07:00,,,,,,25.4,95.8
7324,2025-11-17 16:30:46+07:00,,,,,,25.4,95.9
7325,2025-11-17 16:31:02+07:00,,,,,,25.4,96.0
7326,2025-11-17 16:31:18+07:00,,,,,,25.3,96.0
7327,2025-11-17 16:31:34+07:00,,,,,,25.3,96.1
7328,2025-11-17 16:31:50+07:00,,,,,,25.3,96.1
7329,2025-11-17 16:32:06+07:00,,,,,,25.3,96.2
7330,2025-11-17 16:32:22+07:00,,,,,,25.3,96.3
7331,2025-11-17 16:32:38+07:00,,,,,,25.3,96.2
7332,2025-11-17 16:32:54+07:00,,,,,,25.3,96.2
7333,2025-11-17 16:33:10+07:00,,,,,,25.3,96.3
7334,2025-11-17 16:33:26+07:00,,,,,,25.3,96.3
7335,2025-11-17 16:33:42+07:00,,,,,,25.2,96.2
7336,2025-11-17 16:33:58+07:00,,,,,,25.2,96.3
7337,2025-11-17 16:34:14+07:00,,,,,,25.2,96.3
7338,2025-11-17 16:34:30+07:00,,,,,,25.2,96.3
7339,2025-11-17 16:34:46+07:00,,,,,,25.2,96.4
7340,2025-11-17 16:35:02+07:00,,,,,,25.2,96.4
7341,2025-11-17 16:35:18+07:00,,,,,,25.2,96.5
7342,2025-11-17 16:35:34+07:00,,,,,,25.2,96.6
7343,2025-11-17 16:35:50+07:00,,,,,,25.2,96.6
7344,2025-11-17 16:36:06+07:00,,,,,,25.2,96.7
7345,2025-11-17 16:36:22+07:00,,,,,,25.2,96.7
7346,2025-11-17 16:36:38+07:00,,,,,,25.2,96.7
7347,2025-11-17 16:36:54+07:00,,,,,,25.1,96.7
7348,2025-11-17 16:37:10+07:00,,,,,,25.1,96.8
7349,2025-11-17 16:37:26+07:00,,,,,,25.2,96.9
7350,2025-11-17 16:37:42+07:00,,,,,,25.1,96.9
7351,2025-11-17 16:37:58+07:00,,,,,,25.1,96.9
7352,2025-11-17 16:38:14+07:00,,,,,,25.1,96.9
7353,2025-11-17 16:38:30+07:00,,,,,,25.1,96.8
7354,2025-11-17 16:38:46+07:00,,,,,,25.1,96.9
7355,2025-11-17 16:39:02+07:00,,,,,,25.1,96.9
7356,2025-11-17 16:39:18+07:00,,,,,,25.1,96.9
7357,2025-11-17 16:39:34+07:00,,,,,,25.1,96.9
7358,2025-11-17 16:39:50+07:00,,,,,,25.1,96.9
